hourly_value_mxn,algorithm,best_cost_mxn,mean_cost_mxn,std_cost_mxn,best_seed,best_runtime_s
100.0,aco,48133.2482,48236.4092,126.4592,29,9.7843
100.0,ga,51941.5139,52029.3883,112.1592,29,6.6652
150.0,aco,57419.8486,57743.2999,229.0247,13,8.941
150.0,ga,61384.183,62505.0959,823.6718,13,7.4005
200.0,aco,67191.2833,67303.23,79.3641,7,9.7794
200.0,ga,69230.5496,71016.665,1813.897,7,7.276
250.0,aco,75694.3486,76722.9448,801.8098,13,11.3893
250.0,ga,78371.23,81912.5869,2577.747,13,6.4979
300.0,aco,85506.7329,85830.917,261.3777,7,10.5745
300.0,ga,85065.0057,89875.7889,3437.3824,7,7.7772
